Rank,Model,MAE,RMSE,MAPE,R2,MSE
1,Holt-Winters,66.04837126386472,82.78148803942587,16.776338328425684,-1.3426677236449085,6852.774762021607
2,Naive Forecast,66.04837128174604,82.78148805837792,16.7763383330332,-1.3426677247175731,6852.774765159366
3,Auto-ARIMA,66.04837128174604,82.78148805837792,16.7763383330332,-1.3426677247175731,6852.774765159366
4,ARIMA,66.95454632551578,83.7414480209078,17.010158181153564,-1.3973153653254737,7012.630116638402
5,SARIMA,121.87366981032814,145.80799634952686,31.399961273080024,-6.267866152004047,21259.971799463638
